iter	Logloss
0	0.5982403923
1	0.5192110398
2	0.4682347915
3	0.4144743975
4	0.3838168425
5	0.3459319171
6	0.3140216603
7	0.2879579656
8	0.2737348669
9	0.2612962611
10	0.2522266164
11	0.2427765117
12	0.236919044
13	0.2313376034
14	0.2278666104
15	0.2218081082
16	0.2127331453
17	0.2091815724
18	0.2047773025
19	0.2007162206
20	0.1967473198
21	0.1897639555
22	0.1863461551
23	0.1833748761
24	0.1779187595
25	0.174748791
26	0.1726169362
27	0.1691535501
28	0.1651113847
29	0.1620549595
30	0.1591567096
31	0.1561759724
32	0.1546797472
33	0.1523912766
34	0.1484456118
35	0.1456899531
36	0.1445918588
37	0.1413117801
38	0.1368523878
39	0.1354823617
40	0.1332534902
41	0.1301404504
42	0.1267732284
43	0.1252250784
44	0.1233058929
45	0.1221334457
46	0.1195432102
47	0.1165735133
48	0.1149289973
49	0.1134473688
50	0.1116408965
51	0.1083743712
52	0.1061624864
53	0.1043698704
54	0.1015845467
55	0.1007681454
56	0.100058421
57	0.09876455419
58	0.09752352097
59	0.09624398175
60	0.09347881429
61	0.09140599195
62	0.08993737838
63	0.08838328193
64	0.0870492823
65	0.08597200057
66	0.08355236053
67	0.08237699621
68	0.0814057855
69	0.08074004229
70	0.07986708248
71	0.07822823805
72	0.0776010345
73	0.07635076186
74	0.07459499135
75	0.07408196505
76	0.07276013318
77	0.07200671364
78	0.07161325567
79	0.07129382526
80	0.07078511855
81	0.07043828964
82	0.06934425691
83	0.06876509049
84	0.06833583607
85	0.06701251759
86	0.06593303119
87	0.0645358871
88	0.06329460144
89	0.06291957182
90	0.06197439082
91	0.06114559174
92	0.06040029526
93	0.05976931628
94	0.05920101615
95	0.05889886968
96	0.05799820844
97	0.05740121393
98	0.05645319995
99	0.05488703111
100	0.05401554108
101	0.05365177603
102	0.05330534542
103	0.05200231777
104	0.05123841903
105	0.05038849887
106	0.04961776733
107	0.04917609271
108	0.04887119742
109	0.04857216442
110	0.04774845909
111	0.04751798405
112	0.04673267252
113	0.04624578532
114	0.04605060185
115	0.04573532834
116	0.04484801292
117	0.04462978139
118	0.04442142599
119	0.04426152285
120	0.04409989189
121	0.04389925845
122	0.04329425026
123	0.04296682582
124	0.04242880765
125	0.04179820734
126	0.04118863274
127	0.04107678077
128	0.04085487478
129	0.04004127278
130	0.03987141777
131	0.03962681714
132	0.03916270312
133	0.03871489132
134	0.03848301944
135	0.03796422341
136	0.03759722429
137	0.03722742866
138	0.0366169621
139	0.03619431608
140	0.03609715069
141	0.0356371571
142	0.03501420582
143	0.03466501797
144	0.03431655659
145	0.03410132352
146	0.03378388461
147	0.03327070685
148	0.03277617342
149	0.03256469614
150	0.03217884232
151	0.03204809357
152	0.03163199705
153	0.03121794813
154	0.03101493611
155	0.03092250263
156	0.03071059339
157	0.03059900508
158	0.03020771531
159	0.02984187182
160	0.02944222619
161	0.02931837194
162	0.02879666721
163	0.02855610286
164	0.02842319152
165	0.02831809661
166	0.02802574494
167	0.02779473136
168	0.02755180808
169	0.02749565349
170	0.02720991022
171	0.02712264902
172	0.02701628068
173	0.02678650688
174	0.02644693992
175	0.02636627309
176	0.02619979522
177	0.02608297292
178	0.02600642373
179	0.02597080119
180	0.0257732784
181	0.02534345739
182	0.02505112536
183	0.0249864999
184	0.02492097406
185	0.02460272733
186	0.02432476212
187	0.02425225202
188	0.02416950675
189	0.02401523871
190	0.02384080887
191	0.02371348213
192	0.02333899947
193	0.02323234081
194	0.02296182128
195	0.02276981578
196	0.02270390987
197	0.02265534681
198	0.02237433686
199	0.0221693628
